step,mechanism,n_values,n_fallback,fraction
4,null,2000000,0,0.0
4,repeated,2000000,0,0.0
4,round,2000000,0,0.0
4,quarter,2000000,0,0.0
4,psychological,2000000,0,0.0
4,threshold,2000000,0,0.0
4,fiscal,2000000,0,0.0
4,divisibility,2000000,0,0.0
4,product,2000000,0,0.0
4,fixed_factor,2000000,0,0.0
4,temporal_concat,2000000,0,0.0
4,temporal_concat_arith,2000000,0,0.0
4,sum_of_rounded,2000000,0,0.0
4,sum_of_divisibility,2000000,0,0.0
5b,null,500000,0,0.0
5b,repeated,500000,0,0.0
5b,round,500000,0,0.0
5b,quarter,500000,0,0.0
5b,psychological,500000,0,0.0
5b,threshold,500000,0,0.0
5b,fiscal,500000,0,0.0
5b,divisibility,500000,0,0.0
5b,product,500000,0,0.0
5b,fixed_factor,500000,0,0.0
5b,temporal_concat,500000,0,0.0
5b,temporal_concat_arith,500000,0,0.0
5b,sum_of_rounded,500000,0,0.0
5b,sum_of_divisibility,500000,0,0.0
5a,null,555000,0,0.0
5a,repeated,555000,0,0.0
5a,round,555000,0,0.0
5a,quarter,555000,0,0.0
5a,psychological,555000,0,0.0
5a,threshold,555000,0,0.0
5a,fiscal,555000,0,0.0
5a,divisibility,555000,0,0.0
5a,product,555000,0,0.0
5a,fixed_factor,555000,0,0.0
5a,temporal_concat,555000,0,0.0
5a,temporal_concat_arith,555000,0,0.0
5a,sum_of_rounded,555000,0,0.0
5a,sum_of_divisibility,555000,0,0.0
6,round_m1,1000000,0,0.0
6,round_m2,1000000,0,0.0
6,round_m5,1000000,0,0.0
6,round_m10,1000000,0,0.0
6,round_m20,1000000,0,0.0
6,round_m50,1000000,999964,0.999964
6,divisibility_m1,1000000,0,0.0
6,divisibility_m2,1000000,0,0.0
6,divisibility_m5,1000000,0,0.0
6,divisibility_m10,1000000,0,0.0
6,divisibility_m20,1000000,0,0.0
6,divisibility_m50,1000000,999964,0.999964
