mechanism,projection,N,z_score,verdict
divisibility,ThresholdDensity,1000,nan,?
divisibility,TemporalConcentration,1000,nan,?
divisibility,CBAD_R2,1000,-0.15381710067648727,0
fiscal,DecimalResidue,1000,0.6647850183565663,0
fiscal,ThresholdDensity,1000,nan,?
fiscal,cp_spectrum,1000,-2.25169576126745,?
fixed_factor,ThresholdDensity,1000,nan,?
fixed_factor,TemporalConcentration,1000,nan,?
fixed_factor,CBAD_a,1000,-2.0432079522709454,?
null,DecimalResidue,1000,0.6647850183565663,0
null,ThresholdDensity,1000,nan,?
null,TemporalConcentration,1000,nan,?
null,cp_spectrum,1000,-2.25169576126745,?
temporal_concat,LeadingDigit,1000,0.1014167242349223,0
temporal_concat,ThresholdDensity,1000,nan,?
temporal_concat,TemporalConcentration,1000,nan,?
temporal_concat,cp_spectrum,1000,-1.1873793802863366,0
temporal_concat_arith,LeadingDigit,1000,1.248731660444193,0
temporal_concat_arith,ThresholdDensity,1000,nan,?
temporal_concat_arith,TemporalConcentration,1000,nan,?
threshold,VocabGini,1000,-0.004871500207059073,0
threshold,TemporalConcentration,1000,nan,?
threshold,cp_spectrum,1000,1.3509296670552604,0
divisibility,ThresholdDensity,10000,nan,?
divisibility,TemporalConcentration,10000,nan,?
divisibility,CBAD_R2,10000,0.5898346659112761,0
fiscal,DecimalResidue,10000,3.0002790271260227,+
fiscal,ThresholdDensity,10000,nan,?
fiscal,cp_spectrum,10000,-0.7145944824029207,0
fixed_factor,ThresholdDensity,10000,nan,?
fixed_factor,TemporalConcentration,10000,nan,?
fixed_factor,CBAD_a,10000,-1.0053846167458775,0
null,DecimalResidue,10000,3.0002790271260227,+
null,ThresholdDensity,10000,nan,?
null,TemporalConcentration,10000,nan,?
null,cp_spectrum,10000,-0.7145944824029207,0
temporal_concat,LeadingDigit,10000,-0.265543164125533,0
temporal_concat,ThresholdDensity,10000,nan,?
temporal_concat,TemporalConcentration,10000,nan,?
temporal_concat,cp_spectrum,10000,0.9128022088671386,0
temporal_concat_arith,LeadingDigit,10000,-1.4089472605076756,0
temporal_concat_arith,ThresholdDensity,10000,nan,?
temporal_concat_arith,TemporalConcentration,10000,nan,?
threshold,VocabGini,10000,-2.058891958216436,?
threshold,TemporalConcentration,10000,nan,?
threshold,cp_spectrum,10000,-1.79418374986323,?
divisibility,ThresholdDensity,100000,nan,?
divisibility,TemporalConcentration,100000,nan,?
divisibility,CBAD_R2,100000,-1.4920025130803225,0
fiscal,DecimalResidue,100000,3.268019532421166,+
fiscal,ThresholdDensity,100000,nan,?
fiscal,cp_spectrum,100000,-1.1730364826979558,0
fixed_factor,ThresholdDensity,100000,nan,?
fixed_factor,TemporalConcentration,100000,nan,?
fixed_factor,CBAD_a,100000,1.005701432951272,0
null,DecimalResidue,100000,3.268019532421166,+
null,ThresholdDensity,100000,nan,?
null,TemporalConcentration,100000,nan,?
null,cp_spectrum,100000,-1.1730364826979558,0
temporal_concat,LeadingDigit,100000,-0.14713761594897007,0
temporal_concat,ThresholdDensity,100000,nan,?
temporal_concat,TemporalConcentration,100000,nan,?
temporal_concat,cp_spectrum,100000,-0.9004175217762144,0
temporal_concat_arith,LeadingDigit,100000,-2.240837229485144,?
temporal_concat_arith,ThresholdDensity,100000,nan,?
temporal_concat_arith,TemporalConcentration,100000,nan,?
threshold,VocabGini,100000,0.3083734601818593,0
threshold,TemporalConcentration,100000,nan,?
threshold,cp_spectrum,100000,-2.1254909324184394,?
