mechanism,column,selected_submetric,selected_z,all_submetric_z
null,DecimalResidue,mod5_tv,1.538,mod5_tv=1.538;mod10_tv=0.541;mod25_tv=0.611;mod100_tv=0.551
null,cp_spectrum,c2,-1.999,c2=-1.999;c3=0.288;c5=0.511;c7=0.207;c10=-1.319;c5sq=1.037
null,L_profile,L1,1.053,L1=1.053;L2=-0.793;L3=-0.852;L4=-0.717
repeated,DecimalResidue,mod100_tv,107.569,mod5_tv=11.168;mod10_tv=17.846;mod25_tv=32.088;mod100_tv=107.569
repeated,cp_spectrum,c10,1.084,c2=1.024;c3=0.178;c5=0.242;c7=-0.957;c10=1.084;c5sq=-0.437
repeated,L_profile,L4,0.969,L1=-0.352;L2=-0.069;L3=-0.042;L4=0.969
round,DecimalResidue,mod100_tv,5417.058,mod5_tv=4428.648;mod10_tv=4044.343;mod25_tv=4799.802;mod100_tv=5417.058
round,cp_spectrum,c5sq,4081.342,c2=1500.418;c3=-1.019;c5=4000.634;c7=-2.393;c10=3873.625;c5sq=4081.342
round,L_profile,L1,-1195.777,L1=-1195.777;L2=618.225;L3=1183.103;L4=818.49
quarter,DecimalResidue,mod100_tv,4763.48,mod5_tv=4431.035;mod10_tv=4183.081;mod25_tv=4377.314;mod100_tv=4763.48
quarter,cp_spectrum,c5sq,5176.065,c2=-0.532;c3=-0.469;c5=4804.507;c7=-1.334;c10=2400.854;c5sq=5176.065
quarter,L_profile,L3,887.607,L1=-830.427;L2=555.509;L3=887.607;L4=353.51
psychological,DecimalResidue,mod100_tv,8413.859,mod5_tv=2722.821;mod10_tv=5065.71;mod25_tv=4247.706;mod100_tv=8413.859
psychological,cp_spectrum,c2,-869.684,c2=-869.684;c3=1.558;c5=311.484;c7=-0.936;c10=-416.887;c5sq=-262.336
psychological,L_profile,L3,-119.255,L1=106.202;L2=-31.153;L3=-119.255;L4=-111.236
threshold,DecimalResidue,mod25_tv,0.619,mod5_tv=0.477;mod10_tv=0.143;mod25_tv=0.619;mod100_tv=0.184
threshold,cp_spectrum,c10,1.515,c2=0.941;c3=-0.786;c5=1.119;c7=-0.319;c10=1.515;c5sq=0.462
threshold,L_profile,L4,0.848,L1=-0.408;L2=0.441;L3=-0.377;L4=0.848
fiscal,DecimalResidue,mod5_tv,1.538,mod5_tv=1.538;mod10_tv=0.541;mod25_tv=0.611;mod100_tv=0.551
fiscal,cp_spectrum,c2,-1.999,c2=-1.999;c3=0.288;c5=0.511;c7=0.207;c10=-1.319;c5sq=1.037
fiscal,L_profile,L1,1.053,L1=1.053;L2=-0.793;L3=-0.852;L4=-0.717
divisibility,DecimalResidue,mod100_tv,1.317,mod5_tv=1.049;mod10_tv=-0.768;mod25_tv=-0.647;mod100_tv=1.317
divisibility,cp_spectrum,c7,2371.728,c2=2.317;c3=1.987;c5=0.534;c7=2371.728;c10=1.825;c5sq=-0.186
divisibility,L_profile,L3,613.567,L1=-569.826;L2=95.13;L3=613.567;L4=572.525
product,DecimalResidue,mod10_tv,878.883,mod5_tv=437.073;mod10_tv=878.883;mod25_tv=456.959;mod100_tv=738.74
product,cp_spectrum,c2,700.889,c2=700.889;c3=444.217;c5=371.954;c7=285.09;c10=680.486;c5sq=205.291
product,L_profile,L1,-1542.347,L1=-1542.347;L2=756.581;L3=1108.92;L4=989.582
fixed_factor,DecimalResidue,mod10_tv,3680.047,mod5_tv=1025.41;mod10_tv=3680.047;mod25_tv=760.106;mod100_tv=2848.178
fixed_factor,cp_spectrum,c10,-1489.198,c2=-1136.953;c3=-1004.643;c5=-884.217;c7=-546.13;c10=-1489.198;c5sq=-315.199
fixed_factor,L_profile,L2,3017.734,L1=-1182.013;L2=3017.734;L3=-1827.737;L4=-852.52
temporal_concat,DecimalResidue,mod100_tv,289.932,mod5_tv=11.354;mod10_tv=20.5;mod25_tv=39.808;mod100_tv=289.932
temporal_concat,cp_spectrum,c7,-2.662,c2=0.2;c3=0.225;c5=-1.107;c7=-2.662;c10=-0.593;c5sq=-0.68
temporal_concat,L_profile,L4,-1.458,L1=0.753;L2=0.515;L3=-0.92;L4=-1.458
temporal_concat_arith,DecimalResidue,mod5_tv,1.433,mod5_tv=1.433;mod10_tv=-0.264;mod25_tv=-0.616;mod100_tv=-1.021
temporal_concat_arith,cp_spectrum,c7,1147.244,c2=-0.575;c3=1.066;c5=-0.061;c7=1147.244;c10=-0.441;c5sq=-0.455
temporal_concat_arith,L_profile,L4,322.058,L1=-232.021;L2=33.38;L3=302.253;L4=322.058
sum_of_rounded,DecimalResidue,mod10_tv,4580.371,mod5_tv=3847.352;mod10_tv=4580.371;mod25_tv=4073.082;mod100_tv=4217.688
sum_of_rounded,cp_spectrum,c5sq,4619.269,c2=1202.203;c3=2.945;c5=4268.172;c7=2.392;c10=3184.514;c5sq=4619.269
sum_of_rounded,L_profile,L3,1373.577,L1=-1239.062;L2=345.747;L3=1373.577;L4=1145.296
sum_of_divisibility,DecimalResidue,mod100_tv,-0.738,mod5_tv=0.162;mod10_tv=0.054;mod25_tv=-0.357;mod100_tv=-0.738
sum_of_divisibility,cp_spectrum,c7,2591.836,c2=2.538;c3=1.917;c5=0.618;c7=2591.836;c10=2.948;c5sq=0.479
sum_of_divisibility,L_profile,L4,516.798,L1=-374.658;L2=19.137;L3=471.622;L4=516.798
