metric,value,null_mean,z_score,verdict
leading_digit_mad,0.033286,0.042344,-2.453,?
terminal_digit_chisq,1539.15942,8.678261,367.24,+
cents_entropy,4.38275,6.53681,-167.993,+
mod5_tv,0.395652,0.03029,41.421,+
mod10_tv,0.447826,0.046304,30.258,+
mod25_tv,0.451304,0.068725,37.511,+
mod100_tv,0.472319,0.150348,34.081,+
vocab_gini,0.018697,0.0,nan,?
c2,0.096812,0.043156,25.838,+
c3,0.03203,0.034181,-0.805,0
c5,0.153601,0.025826,73.915,+
c7,0.018897,0.020222,-0.762,0
c10,0.250413,0.068982,69.494,+
c5sq,0.132213,0.008991,89.644,+
L1,0.567712,0.645461,-11.334,+
L2,0.236611,0.22459,3.262,+
L3,0.124643,0.09205,11.26,+
L4,0.054737,0.030877,12.604,+
tail_mass,0.195677,0.129949,14.594,+
prime_fraction,0.031884,0.062609,-3.417,+
