mechanism,projection,epsilon,detection_rate,material_rate,mean_z
round,cents_entropy,0.01,1.0,1.0,-44.186
round,cents_entropy,0.05,1.0,1.0,-667.815
round,cents_entropy,0.1,1.0,1.0,-1922.276
round,cents_entropy,0.25,1.0,1.0,-7192.14
round,cents_entropy,0.5,1.0,1.0,-18905.926
round,cents_entropy,0.75,1.0,1.0,-33580.276
round,cents_entropy,1.0,1.0,1.0,-53168.26
divisibility,c7,0.01,1.0,1.0,8.236
divisibility,c7,0.05,1.0,1.0,41.334
divisibility,c7,0.1,1.0,1.0,82.811
divisibility,c7,0.25,1.0,1.0,207.062
divisibility,c7,0.5,1.0,1.0,413.992
divisibility,c7,0.75,1.0,1.0,620.89
divisibility,c7,1.0,1.0,1.0,828.11
temporal_concat,cbad_r2,0.01,1.0,1.0,-23.09
temporal_concat,cbad_r2,0.05,1.0,1.0,-20.381
temporal_concat,cbad_r2,0.1,1.0,1.0,-16.705
temporal_concat,cbad_r2,0.25,1.0,1.0,-12.208
temporal_concat,cbad_r2,0.5,1.0,1.0,-12.772
temporal_concat,cbad_r2,0.75,1.0,1.0,-12.597
temporal_concat,cbad_r2,1.0,1.0,1.0,-17.64
