chromosome,feature_type,n,frac_div3,c3_mean,c3_z,mod3_tv,mod3_z,cp_selected
1,CDS,22953,0.9411,0.2225,164.0,0.60772,331.8,c3
1,intron,308119,0.3368,0.0793,10.3,0.00372,4.3,c2
1,UTR,74372,0.3297,0.1201,4.9,0.00697,2.0,c10
7,CDS,11281,0.9239,0.2151,108.7,0.59052,306.8,c3
7,intron,166792,0.3275,0.0744,4.6,0.00584,5.1,c7
7,UTR,36340,0.3269,0.1169,3.3,0.01815,5.1,c5
19,CDS,15359,0.8939,0.2137,134.5,0.56061,277.5,c3
19,intron,150025,0.3352,0.0853,11.7,0.00332,3.6,c10
19,UTR,46249,0.3465,0.1277,8.4,0.01314,5.7,c2
21,CDS,2212,0.9236,0.2169,60.3,0.59027,109.3,c3
21,intron,36454,0.3224,0.0693,-4.2,0.02366,17.6,c5
21,UTR,7141,0.3368,0.1254,2.9,0.00345,-0.9,c2
22,CDS,5754,0.9261,0.2213,86.0,0.59281,163.5,c3
22,intron,78220,0.3386,0.0849,16.0,0.0058,4.3,c3
22,UTR,18018,0.3321,0.1195,1.7,0.01138,2.4,c7
